Híroldal,Kategória
Origo.hu,kormánypárti / jobboldali
Magyar Nemzet,kormánypárti / jobboldali
Magyar Hírlap,kormánypárti / jobboldali
Mandiner.hu,kormánypárti / jobboldali
888.hu,kormánypárti / jobboldali
PestiSrácok.hu,kormánypárti / jobboldali
Ripost.hu,kormánypárti / jobboldali
Figyelő.hu,kormánypárti / jobboldali
Lokal.hu,kormánypárti / jobboldali
Metropol.hu,kormánypárti / jobboldali
Demokrata.hu,kormánypárti / jobboldali
Vadhajtások.hu,kormánypárti / jobboldali
Kuruc.info,szélsőjobboldali / nacionalista
444.hu,ellenzéki / liberális
24.hu,ellenzéki / liberális
Telex.hu,ellenzéki / liberális
HVG.hu,ellenzéki / liberális
Index.hu,ellenzéki / liberális
Népszava.hu,ellenzéki / baloldali
Magyar Hang,"ellenzéki / konzervatív, de kormánykritikus"
Partizán,ellenzéki / független
Mérce.hu,baloldali / progresszív
Azonnali.hu,ellenzéki / liberális
Klubradio.hu,ellenzéki / liberális
ATV.hu,ellenzéki / centrista-liberális
RTL.hu (Hírek),ellenzéki / független
Átlátszó.hu,tényfeltáró / független
Direkt36.hu,tényfeltáró / független
Portfolio.hu,független / gazdasági
Napi.hu,független / gazdasági
Világgazdaság (vg.hu),független / gazdasági
G7.hu,független / gazdasági
Piac&Profit.hu,független / gazdasági
Forbes.hu,független / gazdasági
Hirado.hu (MTVA),állami / kormánypárti
M1.hu,állami / kormánypárti
MTI.hu,állami / hírügynökség
Blikk.hu,bulvár / semleges
Borsonline.hu,bulvár / kormánypárti
Story.hu,bulvár / semleges
Best.hu,bulvár / semleges
Delmagyar.hu,regionális / Csongrád
Kisalfold.hu,regionális / Győr-Moson-Sopron
Sonline.hu,regionális / Somogy
Feol.hu,regionális / Fejér
Heol.hu,regionális / Heves
Beol.hu,regionális / Békés
Szoljon.hu,regionális / Jász-Nagykun-Szolnok
Boon.hu,regionális / Borsod
Zaol.hu,regionális / Zala
Baon.hu,regionális / Bács-Kiskun
Haon.hu,regionális / Hajdú-Bihar
Teol.hu,regionális / Tolna
